"Duration","Start.date","Start.Station","End.date","End.Station","Bike.","Member.Type"
"0h 5m 35s","2/22/2014 15:11","21st & M St NW","2/22/2014 15:17","20th & E St NW","W00795","Registered"
"0h 12m 22s","1/2/2014 16:21","4th & D St NW / Judiciary Square","1/2/2014 16:33","11th & F St NW","W21345","Casual"
"0h 2m 41s","2/12/2014 17:30","18th St & Pennsylvania Ave NW","2/12/2014 17:32","18th & M St NW","W00920","Registered"
"0h 4m 41s","1/23/2014 18:16","7th & R St NW / Shaw Library","1/23/2014 18:20","14th & Rhode Island Ave NW","W01269","Registered"
"0h 9m 10s","1/18/2014 17:19","New Jersey Ave & R St NW","1/18/2014 17:28","Metro Center / 12th & G St NW","W20661","Registered"
"1h 34m 53s","2/22/2014 14:46","19th St & Constitution Ave NW","2/22/2014 16:21","McPherson Square / 14th & H St NW","W21111","Casual"
"0h 18m 32s","1/17/2014 13:51","McPherson Square / 14th & H St NW","1/17/2014 14:09","Washington & Independence Ave SW/HHS","W20899","Registered"
"0h 7m 24s","1/17/2014 15:53","Adams Mill & Columbia Rd NW","1/17/2014 16:01","17th & Rhode Island Ave NW","W20458","Registered"
"0h 5m 35s","2/26/2014 11:51","5th & F St NW","2/26/2014 11:56","11th & K St NW","W00824","Registered"
"0h 6m 4s","3/1/2014 16:46","Eastern Market / 7th & North Carolina Ave SE","3/1/2014 16:52","Potomac & Pennsylvania Ave SE","W01072","Registered"
"0h 10m 19s","3/9/2014 15:12","15th & P St NW","3/9/2014 15:22","19th St & Pennsylvania Ave NW","W01373","Registered"
"0h 3m 44s","1/31/2014 14:28","14th & Rhode Island Ave NW","1/31/2014 14:32","14th & R St NW","W20345","Registered"
"0h 5m 34s","1/29/2014 16:04","Clarendon Blvd & N Fillmore St","1/29/2014 16:09","Arlington Blvd & N Queen St","W20856","Registered"
"0h 13m 14s","2/26/2014 12:31","US Dept of State / Virginia Ave & 21st St NW","2/26/2014 12:44","Wisconsin Ave & O St NW","W20545","Registered"
"0h 5m 27s","1/20/2014 15:12","3rd & H St NE","1/20/2014 15:18","11th & H St NE","W01499","Registered"
"0h 8m 39s","3/22/2014 17:57","13th & H St NE","3/22/2014 18:05","15th St & Massachusetts Ave SE","W20472","Registered"
"0h 19m 52s","1/23/2014 7:03","Clarendon Blvd & Pierce St","1/23/2014 7:23","21st St & Constitution Ave NW","W20432","Registered"
"0h 16m 9s","2/22/2014 14:47","15th & P St NW","2/22/2014 15:03","Eckington Pl & Q St NE","W20420","Registered"
"0h 7m 57s","3/26/2014 16:25","7th & T St NW","3/26/2014 16:33","5th St & Massachusetts Ave NW","W20139","Registered"
"0h 8m 7s","1/28/2014 7:51","13th & D St NE","1/28/2014 8:00","Columbus Circle / Union Station","W01247","Registered"
"0h 24m 18s","3/31/2014 8:07","Henry St & Pendleton St","3/31/2014 8:32","20th & Crystal Dr","W20560","Registered"
"0h 7m 11s","2/27/2014 21:51","Columbus Circle / Union Station","2/27/2014 21:58","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00927","Registered"
"0h 2m 51s","3/19/2014 8:29","Crystal City Metro / 18th & Bell St","3/19/2014 8:32","26th & S Clark St","W20686","Registered"
"0h 4m 14s","2/23/2014 9:14","13th & H St NE","2/23/2014 9:18","3rd & H St NE","W20836","Registered"
"0h 3m 47s","2/8/2014 9:40","California St & Florida Ave NW","2/8/2014 9:44","Massachusetts Ave & Dupont Circle NW","W20309","Registered"
"0h 25m 59s","3/20/2014 6:28","15th St & Massachusetts Ave SE","3/20/2014 6:54","17th & K St NW","W01410","Registered"
"0h 5m 52s","1/12/2014 1:08","13th & H St NE","1/12/2014 1:14","8th & F St NE","W00714","Registered"
"0h 7m 22s","1/9/2014 9:02","Wisconsin Ave & O St NW","1/9/2014 9:09","Lynn & 19th St North","W21393","Registered"
"0h 11m 34s","2/9/2014 14:56","California St & Florida Ave NW","2/9/2014 15:07","M St & Pennsylvania Ave NW","W20098","Registered"
"0h 1m 40s","2/27/2014 9:08","20th & Bell St","2/27/2014 9:10","23rd & Crystal Dr","W00505","Registered"
"0h 7m 57s","3/18/2014 14:40","George Mason Dr & Wilson Blvd","3/18/2014 14:48","Central Library / N Quincy St & 10th St N","W20984","Registered"
"0h 7m 39s","3/30/2014 12:16","New Jersey Ave & R St NW","3/30/2014 12:24","Convention Center / 7th & M St NW","W20410","Registered"
"0h 10m 7s","2/22/2014 14:58","18th & M St NW","2/22/2014 15:08","Convention Center / 7th & M St NW","W00848","Registered"
"0h 4m 20s","2/24/2014 8:12","21st & I St NW","2/24/2014 8:16","21st St & Constitution Ave NW","W01059","Registered"
"0h 15m 0s","3/16/2014 13:09","15th & K St NW","3/16/2014 13:24","M St & Pennsylvania Ave NW","W21645","Registered"
"0h 6m 29s","1/19/2014 19:27","8th & East Capitol St NE","1/19/2014 19:34","6th & H St NE","W20818","Registered"
"0h 6m 37s","1/9/2014 19:01","Constitution Ave & 2nd St NW/DOL","1/9/2014 19:08","4th & E St SW","W20767","Registered"
"0h 22m 28s","2/26/2014 17:03","New Hampshire Ave & T St NW","2/26/2014 17:26","Georgia Ave & Emerson St NW","W00050","Registered"
"0h 26m 45s","2/19/2014 17:45","12th & L St NW","2/19/2014 18:12","Potomac & Pennsylvania Ave SE","W21350","Registered"
"0h 0m 10s","2/4/2014 8:04","11th & H St NE","2/4/2014 8:04","11th & H St NE","W00409","Registered"
"0h 3m 48s","2/22/2014 8:49","15th & P St NW","2/22/2014 8:53","18th & M St NW","W21407","Registered"
"0h 9m 25s","3/20/2014 13:21","3000 Connecticut Ave NW / National Zoo","3/20/2014 13:30","36th & Calvert St NW / Glover Park","W20977","Registered"
"0h 4m 55s","3/11/2014 13:35","D St & Maryland Ave NE","3/11/2014 13:40","Columbus Circle / Union Station","W00771","Registered"
"0h 19m 23s","3/28/2014 20:23","Jefferson Memorial","3/28/2014 20:42","Smithsonian / Jefferson Dr & 12th St SW","W00316","Casual"
"0h 8m 23s","3/15/2014 15:50","17th & Corcoran St NW","3/15/2014 15:59","New Hampshire Ave & T St NW","W21540","Registered"
"0h 28m 25s","1/13/2014 7:17","Fenton St & Ellsworth Dr ","1/13/2014 7:45","Georgia & New Hampshire Ave NW","W20230","Casual"
"0h 2m 43s","1/29/2014 16:41","19th & K St NW","1/29/2014 16:44","17th & K St NW","W00187","Registered"
"0h 12m 7s","2/7/2014 18:25","4th & East Capitol St NE","2/7/2014 18:37","10th & E St NW","W00781","Registered"
"0h 10m 31s","2/20/2014 10:39","Columbus Circle / Union Station","2/20/2014 10:49","Gallaudet / 8th St & Florida Ave NE","W20498","Registered"
"0h 5m 32s","3/24/2014 9:04","Adams Mill & Columbia Rd NW","3/24/2014 9:10","20th St & Florida Ave NW","W01059","Registered"
"0h 27m 5s","3/14/2014 17:19","New York Ave & 15th St NW","3/14/2014 17:46","14th St & Colorado Ave NW","W20748","Registered"
"0h 4m 45s","3/13/2014 6:24","New York Ave & 15th St NW","3/13/2014 6:29","21st St & Pennsylvania Ave NW","W00321","Registered"
"0h 6m 26s","2/24/2014 0:02","12th & Hayes St /  Pentagon City Metro","2/24/2014 0:09","23rd & Crystal Dr","W20514","Registered"
"0h 8m 11s","3/29/2014 6:14","New Hampshire Ave & T St NW","3/29/2014 6:22","11th & K St NW","W00619","Registered"
"0h 23m 16s","3/8/2014 21:54","7th & F St NW / National Portrait Gallery","3/8/2014 22:17","17th & Corcoran St NW","W20809","Casual"
"0h 9m 49s","2/24/2014 12:40","11th & F St NW","2/24/2014 12:49","14th & R St NW","W01362","Registered"
"0h 4m 53s","1/20/2014 22:37","Park Rd & Holmead Pl NW","1/20/2014 22:42","15th & Euclid St  NW","W00529","Registered"
"0h 10m 39s","3/15/2014 13:39","17th & Corcoran St NW","3/15/2014 13:50","18th & M St NW","W21594","Registered"
"0h 7m 27s","3/2/2014 15:01","6th St & Indiana Ave NW","3/2/2014 15:08","8th & H St NW","W20401","Casual"
"0h 6m 54s","1/10/2014 8:48","M St & Pennsylvania Ave NW","1/10/2014 8:55","23rd & E St NW ","W01138","Registered"
"0h 6m 59s","1/26/2014 16:54","N Adams St & Lee Hwy","1/26/2014 17:01","Rosslyn Metro / Wilson Blvd & Ft Myer Dr","W01109","Registered"
"0h 6m 5s","3/7/2014 16:19","10th St & Constitution Ave NW","3/7/2014 16:25","L'Enfant Plaza / 7th & C St SW","W20109","Registered"
"0h 4m 52s","1/31/2014 20:37","16th & Harvard St NW","1/31/2014 20:41","18th St & Wyoming Ave NW","W00852","Registered"
"0h 2m 13s","1/9/2014 12:24","Adams Mill & Columbia Rd NW","1/9/2014 12:27","Harvard St & Adams Mill Rd NW","W01448","Registered"
"0h 15m 34s","3/11/2014 17:46","McPherson Square / 14th & H St NW","3/11/2014 18:02","California St & Florida Ave NW","W21041","Registered"
"0h 8m 24s","2/24/2014 7:57","Lincoln Park / 13th & East Capitol St NE ","2/24/2014 8:05","3rd & D St SE","W00044","Registered"
"0h 7m 32s","1/16/2014 17:01","14th & Harvard St NW","1/16/2014 17:08","Columbia Rd & Belmont St NW","W20627","Registered"
"0h 5m 57s","2/22/2014 16:20","11th & Kenyon St NW","2/22/2014 16:26","10th & U St NW","W01055","Registered"
"0h 3m 50s","1/28/2014 8:14","King St & Patrick St","1/28/2014 8:18","King St Metro","W21287","Registered"
"0h 12m 17s","3/7/2014 15:18","Good Hope Rd & MLK Ave SE","3/7/2014 15:30","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W01295","Registered"
"0h 7m 31s","3/2/2014 9:32","3rd & H St NW","3/2/2014 9:39","12th & L St NW","W00784","Registered"
"0h 9m 51s","3/8/2014 12:15","14th & D St SE","3/8/2014 12:25","8th & East Capitol St NE","W20673","Registered"
"0h 5m 16s","2/6/2014 8:21","18th St & Wyoming Ave NW","2/6/2014 8:27","Massachusetts Ave & Dupont Circle NW","W01448","Registered"
"0h 8m 29s","1/8/2014 15:55","New Hampshire Ave & T St NW","1/8/2014 16:03","Thomas Circle","W21110","Registered"
"0h 12m 55s","2/14/2014 14:09","Columbus Circle / Union Station","2/14/2014 14:22","Maryland & Independence Ave SW","W01063","Registered"
"0h 19m 23s","3/21/2014 18:41","21st & M St NW","3/21/2014 19:01","Florida Ave & R St NW","W20486","Registered"
"0h 4m 55s","2/21/2014 17:30","20th & L St NW","2/21/2014 17:35","22nd & I St NW / Foggy Bottom","W20076","Registered"
"0h 3m 51s","3/20/2014 10:14","Gallaudet / 8th St & Florida Ave NE","3/20/2014 10:18","Gallaudet / 8th St & Florida Ave NE","W21641","Casual"
"0h 7m 17s","2/12/2014 19:21","18th St & Pennsylvania Ave NW","2/12/2014 19:29","17th & Corcoran St NW","W20300","Registered"
"0h 3m 13s","2/21/2014 13:35","19th St & Pennsylvania Ave NW","2/21/2014 13:39","20th & E St NW","W21433","Registered"
"0h 10m 16s","1/31/2014 11:11","Jefferson Dr & 14th St SW","1/31/2014 11:22","Lincoln Memorial","W21250","Casual"
"0h 6m 18s","1/6/2014 15:06","Van Ness Metro / UDC","1/6/2014 15:12","Connecticut & Nebraska Ave NW","W20985","Registered"
"0h 11m 14s","3/9/2014 13:31","M St & Pennsylvania Ave NW","3/9/2014 13:42","17th & Corcoran St NW","W21211","Registered"
"0h 6m 2s","2/17/2014 11:58","17th & K St NW / Farragut Square","2/17/2014 12:05","22nd & I St NW / Foggy Bottom","W21307","Registered"
"0h 17m 46s","2/22/2014 18:03","8th & H St NW","2/22/2014 18:20","4th & D St NW / Judiciary Square","W00762","Casual"
"0h 17m 7s","2/22/2014 11:19","Court House Metro / Wilson Blvd & N Uhle St","2/22/2014 11:36","George Mason Dr & Wilson Blvd","W20299","Registered"
"0h 2m 5s","3/8/2014 2:57","14th & V St NW","3/8/2014 2:59","14th & Belmont St NW","W21138","Registered"
"0h 10m 49s","1/6/2014 8:36","5th St & Massachusetts Ave NW","1/6/2014 8:47","3rd St & Pennsylvania Ave SE","W21223","Registered"
"0h 5m 45s","3/31/2014 23:13","7th & F St NW / National Portrait Gallery","3/31/2014 23:19","11th & M St NW","W20474","Registered"
"0h 8m 16s","3/10/2014 8:06","21st St & Constitution Ave NW","3/10/2014 8:14","24th & N St NW","W01445","Registered"
"0h 12m 42s","1/22/2014 16:37","13th & D St NE","1/22/2014 16:49","Columbus Circle / Union Station","W20659","Registered"
"0h 4m 57s","1/20/2014 18:05","Lincoln Park / 13th & East Capitol St NE ","1/20/2014 18:09","3rd & D St SE","W21259","Registered"
"0h 20m 30s","2/6/2014 19:25","M St & Delaware Ave NE","2/6/2014 19:46","14th & Rhode Island Ave NW","W21498","Registered"
"0h 10m 47s","2/25/2014 8:12","10th & Florida Ave NW","2/25/2014 8:23","8th & H St NW","W20784","Registered"
"0h 42m 12s","3/8/2014 10:40","Lincoln Memorial","3/8/2014 11:22","Jefferson Memorial","W21348","Casual"
"0h 12m 45s","3/14/2014 18:12","Constitution Ave & 2nd St NW/DOL","3/14/2014 18:25","1st & N St  SE","W00021","Registered"
"0h 10m 3s","3/6/2014 16:33","19th & K St NW","3/6/2014 16:43","20th St & Florida Ave NW","W20999","Registered"
"0h 6m 53s","2/6/2014 8:00","Massachusetts Ave & Dupont Circle NW","2/6/2014 8:07","Georgetown Harbor / 30th St NW","W00439","Registered"
"0h 20m 36s","3/27/2014 8:36","Lamont & Mt Pleasant NW","3/27/2014 8:57","37th & O St NW / Georgetown University","W00547","Registered"
"0h 6m 43s","2/27/2014 7:05","7th & R St NW / Shaw Library","2/27/2014 7:12","8th & H St NW","W00419","Registered"
"0h 12m 0s","3/11/2014 8:40","Columbia Rd & Georgia Ave NW","3/11/2014 8:52","18th & M St NW","W21231","Registered"
"0h 5m 12s","2/2/2014 15:56","17th & Corcoran St NW","2/2/2014 16:02","17th & Rhode Island Ave NW","W20223","Registered"
"0h 8m 5s","3/26/2014 19:02","3000 Connecticut Ave NW / National Zoo","3/26/2014 19:10","18th St & Wyoming Ave NW","W01072","Registered"
"0h 9m 10s","2/23/2014 19:34","Massachusetts Ave & Dupont Circle NW","2/23/2014 19:43","8th & H St NW","W20272","Registered"
"0h 53m 43s","3/22/2014 18:30","USDA / 12th & Independence Ave SW","3/22/2014 19:23","4th & D St NW / Judiciary Square","W21384","Casual"
"0h 9m 19s","1/31/2014 18:56","New Hampshire Ave & T St NW","1/31/2014 19:05","14th & Harvard St NW","W21151","Registered"
"0h 8m 23s","1/30/2014 8:23","15th & P St NW","1/30/2014 8:32","Metro Center / 12th & G St NW","W21218","Registered"
"0h 13m 54s","2/22/2014 12:30","9th & Upshur St NW","2/22/2014 12:44","16th & Harvard St NW","W21650","Registered"
"0h 6m 7s","1/28/2014 7:12","New Hampshire Ave & T St NW","1/28/2014 7:18","17th & K St NW","W21125","Registered"
"0h 10m 13s","1/14/2014 21:55","17th St & Massachusetts Ave NW","1/14/2014 22:05","10th & E St NW","W21532","Registered"
"0h 3m 57s","3/30/2014 22:28","Eastern Market Metro / Pennsylvania Ave & 7th St SE","3/30/2014 22:32","15th St & Massachusetts Ave SE","W01497","Registered"
"0h 2m 57s","2/28/2014 17:47","Columbus Circle / Union Station","2/28/2014 17:50","8th & F St NE","W21493","Registered"
"0h 8m 53s","1/13/2014 7:39","Fairfax Dr & Kenmore St","1/13/2014 7:48","Clarendon Blvd & Pierce St","W20621","Registered"
"0h 8m 37s","3/15/2014 13:29","14th & Harvard St NW","3/15/2014 13:38","15th & Euclid St  NW","W21063","Registered"
"0h 8m 54s","2/11/2014 9:35","D St & Maryland Ave NE","2/11/2014 9:44","3rd St & Pennsylvania Ave SE","W00179","Registered"
"0h 10m 24s","1/3/2014 9:41","Adams Mill & Columbia Rd NW","1/3/2014 9:51","18th & M St NW","W21424","Registered"
"0h 24m 47s","2/25/2014 8:37","North Capitol St & F St NW","2/25/2014 9:02","17th & Rhode Island Ave NW","W00429","Registered"
"0h 16m 4s","3/9/2014 11:45","19th St & Constitution Ave NW","3/9/2014 12:01","Georgetown Harbor / 30th St NW","W00426","Casual"
"0h 3m 20s","3/12/2014 15:41","20th & L St NW","3/12/2014 15:44","17th & K St NW / Farragut Square","W21448","Registered"
"0h 11m 35s","2/27/2014 14:00","15th & East Capitol St NE","2/27/2014 14:12","Columbus Circle / Union Station","W20987","Registered"
"0h 6m 45s","2/12/2014 16:27","Maryland & Independence Ave SW","2/12/2014 16:34","7th & F St NW / National Portrait Gallery","W00775","Registered"
"0h 13m 2s","1/6/2014 14:01","18th & Eads St.","1/6/2014 14:14","15th & Crystal Dr","W20287","Casual"
"0h 10m 17s","3/10/2014 20:45","Adams Mill & Columbia Rd NW","3/10/2014 20:56","Lamont & Mt Pleasant NW","W20579","Registered"
"0h 3m 11s","1/16/2014 8:06","3rd & G St SE","1/16/2014 8:10","3rd & D St SE","W21588","Registered"
"0h 12m 31s","3/26/2014 8:20","Adams Mill & Columbia Rd NW","3/26/2014 8:33","36th & Calvert St NW / Glover Park","W21533","Registered"
"0h 31m 26s","1/19/2014 17:57","New York Ave & 15th St NW","1/19/2014 18:29","Smithsonian / Jefferson Dr & 12th St SW","W01265","Casual"
"0h 4m 27s","2/27/2014 9:15","7th & R St NW / Shaw Library","2/27/2014 9:20","13th & U St NW","w00765","Registered"
"0h 5m 42s","1/31/2014 13:46","12th & L St NW","1/31/2014 13:52","10th & U St NW","W21085","Registered"
"0h 24m 22s","1/9/2014 13:28","Columbus Circle / Union Station","1/9/2014 13:53","Columbus Circle / Union Station","W00658","Registered"
"0h 4m 22s","1/14/2014 11:28","4th & East Capitol St NE","1/14/2014 11:32","Columbus Circle / Union Station","W20433","Registered"
"0h 46m 44s","3/22/2014 15:38","McPherson Square / 14th & H St NW","3/22/2014 16:24","Jefferson Memorial","W20301","Casual"
"0h 12m 14s","2/20/2014 18:43","New Hampshire Ave & T St NW","2/20/2014 18:55","25th St & Pennsylvania Ave NW","W20598","Registered"
"0h 6m 38s","2/2/2014 17:28","24th & N St NW","2/2/2014 17:35","C & O Canal & Wisconsin Ave NW","W21531","Registered"
"0h 9m 57s","3/11/2014 14:14","11th & F St NW","3/11/2014 14:24","20th St & Virginia Ave NW","W00737","Registered"
"0h 7m 9s","2/25/2014 19:57","Massachusetts Ave & Dupont Circle NW","2/25/2014 20:04","Columbia Rd & Belmont St NW","W01416","Registered"
"0h 12m 27s","3/12/2014 18:07","Massachusetts Ave & Dupont Circle NW","3/12/2014 18:20","Florida Ave & R St NW","W21503","Registered"
"0h 17m 39s","3/16/2014 13:07","Massachusetts Ave & Dupont Circle NW","3/16/2014 13:25","Convention Center / 7th & M St NW","W01143","Registered"
"0h 2m 32s","1/27/2014 9:02","11th & K St NW","1/27/2014 9:05","Metro Center / 12th & G St NW","W20769","Registered"
"0h 6m 4s","1/16/2014 17:09","Massachusetts Ave & Dupont Circle NW","1/16/2014 17:16","Columbia Rd & Belmont St NW","W00714","Registered"
"0h 12m 41s","3/1/2014 15:19","1st & M St NE","3/1/2014 15:32","3rd & G St SE","W20511","Registered"
"0h 13m 28s","2/4/2014 16:49","3rd & Tingey St SE","2/4/2014 17:02","Columbus Circle / Union Station","W21579","Registered"
"0h 10m 41s","3/10/2014 11:58","5th St & Massachusetts Ave NW","3/10/2014 12:08","3rd & H St NW","W01067","Registered"
"0h 4m 18s","2/7/2014 16:36","20th & O St NW / Dupont South","2/7/2014 16:41","Thomas Circle","W20122","Registered"
"0h 16m 37s","1/8/2014 13:30","Potomac & Pennsylvania Ave SE","1/8/2014 13:46","Anacostia Library","W20881","Registered"
"0h 9m 42s","3/7/2014 17:46","3rd & D St SE","3/7/2014 17:56","Potomac & Pennsylvania Ave SE","W00235","Registered"
"0h 7m 3s","2/20/2014 13:39","5th & K St NW","2/20/2014 13:46","11th & M St NW","W21229","Registered"
"0h 10m 12s","2/24/2014 9:11","California St & Florida Ave NW","2/24/2014 9:21","21st & I St NW","W20218","Registered"
"0h 20m 33s","3/15/2014 17:05","Connecticut & Nebraska Ave NW","3/15/2014 17:26","34th St & Wisconsin Ave NW","W00829","Registered"
"0h 0m 26s","3/18/2014 9:33","21st St & Pennsylvania Ave NW","3/18/2014 9:33","21st St & Pennsylvania Ave NW","W00130","Registered"
"0h 8m 50s","2/20/2014 18:37","11th & H St NE","2/20/2014 18:46","Eckington Pl & Q St NE","W20510","Registered"
"0h 14m 11s","3/15/2014 14:11","14th & Belmont St NW","3/15/2014 14:26","8th & H St NW","W20311","Registered"
"0h 11m 35s","2/23/2014 10:56","Lamont & Mt Pleasant NW","2/23/2014 11:08","17th & Rhode Island Ave NW","W01206","Registered"
"0h 10m 31s","2/25/2014 8:39","14th & Harvard St NW","2/25/2014 8:49","17th & Rhode Island Ave NW","W00986","Registered"
"0h 7m 53s","2/26/2014 19:42","Columbia Rd & Georgia Ave NW","2/26/2014 19:50","9th & Upshur St NW","W20632","Registered"
"0h 23m 42s","1/29/2014 16:32","Connecticut & Nebraska Ave NW","1/29/2014 16:56","Cordell & Norfolk Ave","W01493","Registered"
"0h 25m 44s","3/27/2014 19:02","7th & F St NW / National Portrait Gallery","3/27/2014 19:28","Washington & Independence Ave SW/HHS","W00993","Casual"
"0h 16m 39s","2/21/2014 18:46","1st & K St SE","2/21/2014 19:02","Eckington Pl & Q St NE","W20391","Registered"
"0h 6m 5s","2/18/2014 16:31","Tenleytown / Wisconsin Ave & Albemarle St NW","2/18/2014 16:37","Connecticut & Nebraska Ave NW","W20553","Registered"
"0h 13m 26s","3/22/2014 11:01","4th & E St SW","3/22/2014 11:14","Jefferson Dr & 14th St SW","W01172","Registered"
"0h 12m 24s","3/27/2014 17:18","18th St & Pennsylvania Ave NW","3/27/2014 17:31","Convention Center / 7th & M St NW","W21231","Registered"
"0h 18m 12s","2/23/2014 19:10","20th & E St NW","2/23/2014 19:28","10th & U St NW","W01025","Registered"
"0h 7m 8s","2/1/2014 17:11","Massachusetts Ave & Dupont Circle NW","2/1/2014 17:18","22nd & I St NW / Foggy Bottom","W01319","Registered"
"0h 10m 13s","2/10/2014 18:07","14th & Rhode Island Ave NW","2/10/2014 18:17","1st & Rhode Island Ave NW","W20438","Registered"
"0h 3m 10s","3/18/2014 12:47","21st & M St NW","3/18/2014 12:50","25th St & Pennsylvania Ave NW","W21520","Registered"
"0h 27m 36s","3/16/2014 12:15","13th & U St NW","3/16/2014 12:43","Lincoln Memorial","W20784","Casual"
"3h 42m 45s","1/30/2014 12:40","Lincoln Memorial","1/30/2014 16:23","Gallaudet / 8th St & Florida Ave NE","W20267","Casual"
"0h 11m 40s","1/16/2014 9:00","4th & M St SW","1/16/2014 9:12","Jefferson Dr & 14th St SW","W00011","Registered"
"0h 14m 25s","1/13/2014 11:55","M St & Delaware Ave NE","1/13/2014 12:09","3rd & G St SE","W20418","Registered"
"0h 51m 31s","3/15/2014 14:37","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","3/15/2014 15:29","14th & G St NW","W01032","Casual"
"0h 10m 35s","3/10/2014 8:15","Columbus Circle / Union Station","3/10/2014 8:26","13th St & New York Ave NW","W01275","Registered"
"0h 7m 15s","2/22/2014 9:13","Adams Mill & Columbia Rd NW","2/22/2014 9:20","17th St & Massachusetts Ave NW","W20967","Registered"
"0h 5m 35s","3/9/2014 17:35","4th & East Capitol St NE","3/9/2014 17:41","3rd & H St NE","W20989","Registered"
"0h 8m 28s","3/31/2014 18:44","North Capitol St & F St NW","3/31/2014 18:53","Eckington Pl & Q St NE","W01270","Registered"
"0h 9m 23s","2/18/2014 7:24","17th & Corcoran St NW","2/18/2014 7:33","Calvert St & Woodley Pl NW","W20609","Registered"
"1h 3m 18s","1/16/2014 10:31","Jefferson Dr & 14th St SW","1/16/2014 11:35","Smithsonian / Jefferson Dr & 12th St SW","W21274","Casual"
"0h 13m 50s","2/1/2014 20:07","Adams Mill & Columbia Rd NW","2/1/2014 20:21","12th & L St NW","W21440","Registered"
"0h 5m 32s","2/26/2014 15:21","25th St & Pennsylvania Ave NW","2/26/2014 15:26","C & O Canal & Wisconsin Ave NW","W00612","Registered"
"0h 5m 47s","2/4/2014 8:37","New York Ave & 15th St NW","2/4/2014 8:42","US Dept of State / Virginia Ave & 21st St NW","W21218","Registered"
"0h 9m 47s","3/14/2014 17:46","Ballston Metro / N Stuart & 9th St N","3/14/2014 17:56","Wilson Blvd & Franklin Rd","W00505","Registered"
"0h 2m 42s","2/22/2014 20:58","12th & Hayes St /  Pentagon City Metro","2/22/2014 21:01","Aurora Hills Community Ctr/18th & Hayes St","W00295","Registered"
"0h 7m 17s","3/20/2014 9:53","20th St & Florida Ave NW","3/20/2014 10:00","21st & M St NW","W00093","Registered"
"0h 2m 51s","3/10/2014 23:22","18th St & Wyoming Ave NW","3/10/2014 23:25","New Hampshire Ave & T St NW","W00165","Registered"
"0h 11m 0s","1/2/2014 12:21","21st & M St NW","1/2/2014 12:32","Wisconsin Ave & O St NW","W20813","Registered"
"0h 2m 37s","2/26/2014 11:32","4th & East Capitol St NE","2/26/2014 11:34","3rd & D St SE","W20739","Registered"
"0h 6m 7s","2/27/2014 20:24","14th & V St NW","2/27/2014 20:30","10th & U St NW","W21452","Registered"
"0h 23m 10s","3/22/2014 17:54","Massachusetts Ave & Dupont Circle NW","3/22/2014 18:18","Constitution Ave & 2nd St NW/DOL","W01195","Casual"
"0h 23m 26s","1/12/2014 18:16","17th & Rhode Island Ave NW","1/12/2014 18:40","Washington & Independence Ave SW/HHS","W21451","Registered"
"0h 4m 59s","2/6/2014 21:40","5th & K St NW","2/6/2014 21:45","New Jersey Ave & R St NW","W20728","Registered"
"0h 13m 52s","3/10/2014 15:31","Florida Ave & R St NW","3/10/2014 15:45","11th & F St NW","W21245","Registered"
"0h 1m 26s","2/23/2014 17:18","New Hampshire Ave & T St NW","2/23/2014 17:20","17th & Corcoran St NW","W01362","Registered"
"0h 7m 27s","3/13/2014 8:15","8th & East Capitol St NE","3/13/2014 8:23","Columbus Circle / Union Station","W21024","Registered"
"0h 3m 38s","3/14/2014 17:24","Calvert & Biltmore St NW","3/14/2014 17:27","18th St & Wyoming Ave NW","w00765","Registered"
"0h 12m 5s","3/26/2014 8:28","Thomas Circle","3/26/2014 8:40","20th St & Florida Ave NW","W20280","Registered"
"0h 1m 39s","3/31/2014 18:42","Fairfax Dr & Kenmore St","3/31/2014 18:44","Fairfax Dr & Wilson Blvd","W20801","Registered"
"0h 30m 49s","2/22/2014 16:31","John McCormack Dr & Michigan Ave NE","2/22/2014 17:02","Constitution Ave & 2nd St NW/DOL","W21258","Registered"
"0h 6m 4s","1/27/2014 20:54","19th & K St NW","1/27/2014 21:00","12th & L St NW","W20689","Registered"
"0h 7m 28s","3/23/2014 11:27","5th St & Massachusetts Ave NW","3/23/2014 11:35","New Jersey Ave & R St NW","W01313","Registered"
"0h 23m 11s","2/22/2014 15:54","Wisconsin Ave & O St NW","2/22/2014 16:18","39th & Veazey St NW","W20825","Registered"
"0h 8m 13s","2/10/2014 18:29","10th & E St NW","2/10/2014 18:37","Thomas Circle","W20989","Registered"
"0h 44m 57s","3/29/2014 0:46","21st St & Constitution Ave NW","3/29/2014 1:31","Massachusetts Ave & Dupont Circle NW","W00547","Registered"
"0h 18m 38s","1/30/2014 18:07","7th & F St NW / National Portrait Gallery","1/30/2014 18:26","20th St & Florida Ave NW","W20679","Registered"
"2h 4m 16s","1/19/2014 12:44","15th & P St NW","1/19/2014 14:48","14th & V St NW","W20784","Casual"
"0h 25m 25s","3/14/2014 9:01","Eckington Pl & Q St NE","3/14/2014 9:27","C & O Canal & Wisconsin Ave NW","W00074","Registered"
"0h 9m 54s","3/9/2014 15:43","Convention Center / 7th & M St NW","3/9/2014 15:53","21st & I St NW","W20677","Registered"
"0h 10m 1s","3/26/2014 23:47","10th & U St NW","3/26/2014 23:57","17th & Rhode Island Ave NW","W20094","Registered"
